Careya arborea,BE2 = 0.1089 D12 + 0.5761 D1 + 0.2813
Careya arborea,BE4 = -0.0024 D12 + 0.1238 D1 - 0.0092
Western Plain,region
1    Anogeissus pendula,BE2 = 128.0517 D2 + 0.5828 D + 9.3216
Anogeissus pendula,BE2 = 4.3925 D2 + 0.2702 D + 0.2610
Anogeissus pendula,BE2 = 0.1337 D12 + 0.2955 D1 - 0.0497
Anogeissus pendula,BE4 = 0.0045 D12 - 0.0118 D1 + 0.0117
Wrightia tinctoria,BE2= 33.4482 D2 + 31.7569 D + 4.2284
Wrightia tinctoria,BE2 = 2.5576 D2 + 2.4283 D + 0.3233
Wrightia tinctoria,BE3 = 0.1047 D12 + 0.3438 D1 - 0.1780
Wrightia tinctoria,BE4 = 0.0098 D12 - 0.0394 D1 + 0.0496
Boswellia serrata,BE2= -6.5495 D2 + 51.2405 D + 2.7240
Boswellia serrata,BE2 = 0.4262 D2 + 4.9770 D + 0.2160
Boswellia serrata,BE2 = 0.1826 D12 - 0.3714 D1 + 0.4298
Boswellia serrata,BE4 = 0.0062 D12 + 0.0331 D1 + 0.0154
Lannea coromandelica,BE2 = -62.5969 D2 + 161.9918 D - 11.4549
Lannea coromandelica,BE2 = -4.5518 D2 + 12.0968 D - 0.7425
Lannea coromandelica,BE3 = -0.0103 D12 + 0.7183 D1 - 0.2651
Lannea coromandelica,BE4 = -0.0042 D12 + 0.0895 D1 + 0.0302
Odina wodier,BE2 = -62.5969 D2 + 161.9918 D - 11.4549
Odina wodier,BE2 = -4.5518 D2 + 12.0968 D - 0.7425
Odina wodier,BE3 = -0.0103 D12 + 0.7183 D1 - 0.2651
Odina wodier,BE4 = -0.0042 D12 + 0.0895 D1 + 0.0302
Lannea grandis,BE2 = -62.5969 D2 + 161.9918 D - 11.4549
Lannea grandis,BE2 = -4.5518 D2 + 12.0968 D - 0.7425
Lannea grandis,BE3 = -0.0103 D12 + 0.7183 D1 - 0.2651
Lannea grandis,BE4 = -0.0042 D12 + 0.0895 D1 + 0.0302
Butea monosperma(Old),BEl= 34.3335 D2 - 7.3049 D + 6.2960
Butea monosperma(Old),BE2 = 13.7310 D2 - 2.7107 D + 1.3816
Butea monosperma(Old),BE3 = 0.0705 D12 + 0.0149 D1 + 0.6722
Butea monosperma(Old),BE4 = 0.0059 D12 + 0.0714 D1 + 0.0245
Butea frondosa,BEl= 34.3335 D2 - 7.3049 D + 6.2960
Butea frondosa,BE2 = 13.7310 D2 - 2.7107 D + 1.3816
Butea frondosa,BE3 = 0.0705 D12 + 0.0149 D1 + 0.6722
Butea frondosa,BE4 = 0.0059 D12 + 0.0714 D1 + 0.0245
Acacia lenticularis,BE2 = 192.6516 D2 - 41.3427 D + 12.0217
Acacia lenticularis,BE2 = 6.2026 D2 - 1.2040 D + 0.3180
Acacia lenticularis,BE3 = 0.061 D12 + 1.089 D1 - 0.433
Acacia lenticularis,BE4 = 0.0207 D1 - 0.0075
Acacia leucophlaea,BE2 = 192.6516 D2 - 41.3427 D + 12.0217
Acacia leucophlaea,BE2 = 6.2026 D2 - 1.2040 D + 0.3180
Acacia leucophlaea,BE3 = 0.061 D12 + 1.089 D1 - 0.433
Acacia leucophlaea,BE4 = 0.0207 D1 - 0.0075
Prosopis guliflora,BE2 = -39.6165 D2 + 107.8593 D + 3.0089
Prosopis guliflora,BE2 = -2.8724 D2 + 4.2047 D + 0.1598
Prosopis guliflora,BE2 = 0.1142 D12 + 0.8472 D1 - 1.0051
Prosopis guliflora,BE4 = 0.0070 D12 - 0.0239 D1 + 0.0297
