Saccopetalum tomentosum,BE1 = 0.0305 D12 + 0.9146 D1 - 0.7580
Saccopetalum tomentosum,BE4 = 0.0078 D12 - 0.0227 Di + 0.0692
Western Ghats,region
Acrocarpus fraxinifolius,BE1 = 461.9579 D2 - 2.3924 D + 13.4012
Acrocarpus fraxinifolius,BE2 = 6.3026 D2 + 7.7195 D + 0.1565
Eastern Ghats,region
Chloroxylon swietenia,BE1 = 0.1990 D12- 0.3570 D1 + 0.5943
West Coast,region
Acacia catechu,BE1 = 0.1804 D12 - 0.1351 D1 + 0.0823
Acacia catechu,BE4 = 0.0077 D12 - 0.0163 D1 + 0.0109
East Coast,region
Albizia amara,BE3 = 0.1924 Di2 D12.8919 D1 - 1.3365
Albizia amara,BE4 = 0.0117 D12- 0.0395 D1 + 0.0487
Dolichandrone falcata,BE1 = 0.2869 D12 - 0.7273 D1 + 1.1723
