4    Anogeissus latifolia,sqrtV = -0.20236 + 3.13059 D
5    Anogeissus pendula,V/D2 = 0.00085/D2 - 0.35165/D + 4.77386 - 0.90585 D
6    Boswellia serrata,sqrtV = -0.1503 + 2.79425 D
7    Buchanania latifolia,V = 0.031 - 0.64087 D + 6.04066 D2
    Buchanania lanzan,V = 0.031 - 0.64087 D + 6.04066 D2
8    Butea monosperma,sqrtV = -0.24276 + 2.95525 D
Butea frondosa,sqrtV = -0.24276 + 2.95525 D
9    Chloroxylon swietenia,V = -0.003156 + 2.043969 D2
10    Diospyros melanoxylon,V = 0.15581 - 2.2075 D + 9.17559 D2
11    *Flacourtia indica,sqrtV = -0.153973 + 2.724109 D
*Flacourtia ramontchi,sqrtV = -0.153973 + 2.724109 D
*Flacourtia indica,sqrtV = -0.153973 + 2.724109 D
12    Lagerstroemia parviflora,V = 0.10529 - 1.68829 D + 10.29573 D2
13    Lannea coromandelica,V/D2 = 0.14004/D2- 2.35990/D + 11.90726
Lannea grandis,V/D2 = 0.14004/D2- 2.35990/D + 11.90726
Odina wodier ,V/D2 = 0.14004/D2- 2.35990/D + 11.90726
14    Madhuca latifolia,V = 0.063632 + 5.355486 D3
Madhuca longifolia,V = 0.063632 + 5.355486 D3
Madhuca indica,V = 0.063632 + 5.355486 D3
Bassia latifolia,V = 0.063632 + 5.355486 D3
15    Miliusa tomentosa,sqrtV = 0.66382 + 7.03093 D - 3.68133 sqrtD
Saccopetalum tomentosum,sqrtV = 0.66382 + 7.03093 D - 3.68133 sqrtD
16    Mitragyna parviflora,V/D2 = 0.099768/D2- 1.744274/D + 10.086934
Stephegyne parviflora,V/D2 = 0.099768/D2- 1.744274/D + 10.086934
17    Tectona grandis,sqrtV = -0.405890 + 1.98158 D + 0.987373 sqrtD
18    Terminalia crenulata,sqrtV = -0.203947 + 3.159215 D
Terminalia tomentosa,sqrtV = -0.203947 + 3.159215 D
Terminalia elliptica,sqrtV = -0.203947 + 3.159215 D
19    Wrightia tinctoria,sqrtV = 0.050294 + 3.115497 D - 0.687813 sqrtD
20    Zizyphus xylopyrus,V = 0.027354 + 4.663714 D2
North Deccan,region
1    Acacia catechu,V = 0.04235 - 0.74240 D + 7.26875 D2
2    Aegle marmelos,V = 0.119 - 1.768 D + 9.258 D2
3    Anogeissus latifolia,V = -0.061856 + 7.952136 D2
4    Bauhinia retusa,V = -0.0236 + 0.3078 D + 1.2361 D2
Bauhinia variegata,V = -0.0236 + 0.3078 D + 1.2361 D2
5    Buchanania latifolia,V = -0.00767 + 0.2654 D + 1.0383 D2 + 7.527 D3
Buchanania lanzan,V = -0.00767 + 0.2654 D + 1.0383 D2 + 7.527 D3
6    Butea monosperma,V = -0.032 - 0.0619 D + 7.208 D2
Butea frondosa,V = -0.032 - 0.0619 D + 7.208 D2
7    Chloroxylon swietenia,V = 0.0242 - 0.6689 D + 5.2777 D2
8    Cleistanthus collinus,sqrtV = -0.07324 + 2.187427 D
9    Diospyros melanoxylon,V/D = 0.033867/D - 0.975148 + 8.255412 D
10    Gardenia resinifera,V = 0.078 - 1.188 D + 6.751 D2
Gardenia turgida,V = 0.078 - 1.188 D + 6.751 D2
Gardenia lucida,V = 0.078 - 1.188 D + 6.751 D2
Gardenia latifolia,V = 0.078 - 1.188 D + 6.751 D2
Gardenia gum,V = 0.078 - 1.188 D + 6.751 D2
11    Lagerstroemia parviflora,V/D2 = 0.06466/D2 - 1.371984/D + 9.629971
12    Lannea coromandelica,V = 0.093318 - 1.531417 D + 9.011590 D2
Lannea grandis,V = 0.093318 - 1.531417 D + 9.011590 D2
Odina wodier,V = 0.093318 - 1.531417 D + 9.011590 D2
13    Madhuca latifolia,V = 0.074069 - 1.230020 D + 7.726902 D2
Madhuca longifolia,V = 0.074069 - 1.230020 D + 7.726902 D2
Madhuca indica,V = 0.074069 - 1.230020 D + 7.726902 D2
Bassia latifolia,V = 0.074069 - 1.230020 D + 7.726902 D2
14    Memecylon edule,V = 0.103 - 1.709 D + 9.692 D2
15    Miliusa tomentosa,sqrtV = 0.66382 + 7.03093 D - 3.68133 sqrtD
Saccopetalum tomentosum,sqrtV = 0.66382 + 7.03093 D - 3.68133 sqrtD
    Syzygium cumini,V = 0.2736 - 3.377 D + 12.959 D2
    Syzygium jambolanum,V = 0.2736 - 3.377 D + 12.959 D2
     Eugenia jambolana,V = 0.2736 - 3.377 D + 12.959 D2
17    Tectona grandis,sqrtV = -0.106720 + 2.562418 D
18    Terminalia crenulata,V/D2 = 0.048532/D2- 1.05615/D + 8.204564
Terminalia tomentosa,V/D2 = 0.048532/D2- 1.05615/D + 8.204564
